timestamp,open,high,low,close,volume
2024-01-01T08:00:00Z,0.179862,0.181623,0.179322,0.181080,1000.00
2024-01-01T08:01:00Z,0.180000,0.181858,0.179460,0.181314,1003.00
2024-01-01T08:02:00Z,0.180138,0.182069,0.179598,0.181524,1006.00
2024-01-01T08:03:00Z,0.180276,0.182255,0.179735,0.181710,1009.00
2024-01-01T08:04:00Z,0.180412,0.182414,0.179870,0.181869,1012.00
2024-01-01T08:05:00Z,0.180545,0.182547,0.180004,0.182001,1015.00
2024-01-01T08:06:00Z,0.180675,0.182654,0.180133,0.182108,1018.00
2024-01-01T08:07:00Z,0.180802,0.182735,0.180259,0.182188,1021.00
2024-01-01T08:08:00Z,0.180923,0.182790,0.180380,0.182243,1024.00
2024-01-01T08:09:00Z,0.181039,0.182821,0.180496,0.182274,1027.00
2024-01-01T08:10:00Z,0.181149,0.182830,0.180606,0.182283,1030.00
2024-01-01T08:11:00Z,0.181252,0.182818,0.180708,0.182271,1033.00
2024-01-01T08:12:00Z,0.181348,0.182787,0.180804,0.182241,1036.00
2024-01-01T08:13:00Z,0.181435,0.182740,0.180891,0.182193,1039.00
2024-01-01T08:14:00Z,0.181515,0.182678,0.180970,0.182132,1042.00
2024-01-01T08:15:00Z,0.181585,0.182604,0.181040,0.182058,1045.00
2024-01-01T08:16:00Z,0.181646,0.182520,0.181101,0.181974,1048.00
2024-01-01T08:17:00Z,0.181697,0.182428,0.181152,0.181882,1051.00
2024-01-01T08:18:00Z,0.181738,0.182330,0.181193,0.181785,1054.00
2024-01-01T08:19:00Z,0.181769,0.182314,0.181139,0.181684,1057.00
2024-01-01T08:20:00Z,0.181789,0.182335,0.181036,0.181581,1060.00
2024-01-01T08:21:00Z,0.181799,0.182344,0.180933,0.181478,1063.00
2024-01-01T08:22:00Z,0.181798,0.182344,0.180831,0.181375,1066.00
2024-01-01T08:23:00Z,0.181787,0.182332,0.180730,0.181274,1069.00
2024-01-01T08:24:00Z,0.181765,0.182310,0.180632,0.181176,1072.00
2024-01-01T08:25:00Z,0.181732,0.182277,0.180537,0.181080,1075.00
2024-01-01T08:26:00Z,0.181689,0.182235,0.180444,0.180987,1078.00
2024-01-01T08:27:00Z,0.181637,0.182182,0.180355,0.180897,1081.00
2024-01-01T08:28:00Z,0.181574,0.182119,0.180268,0.180810,1084.00
2024-01-01T08:29:00Z,0.181503,0.182047,0.180182,0.180724,1087.00
2024-01-01T08:30:00Z,0.181422,0.181966,0.180098,0.180640,1090.00
2024-01-01T08:31:00Z,0.181333,0.181877,0.180014,0.180556,1093.00
2024-01-01T08:32:00Z,0.181236,0.181780,0.179929,0.180470,1096.00
2024-01-01T08:33:00Z,0.181132,0.181675,0.179842,0.180383,1099.00
2024-01-01T08:34:00Z,0.181021,0.181564,0.179752,0.180293,1102.00
2024-01-01T08:35:00Z,0.180904,0.181447,0.179657,0.180198,1105.00
2024-01-01T08:36:00Z,0.180782,0.181324,0.179557,0.180098,1108.00
2024-01-01T08:37:00Z,0.180655,0.181197,0.179451,0.179991,1111.00
2024-01-01T08:38:00Z,0.180524,0.181066,0.179338,0.179878,1114.00
2024-01-01T08:39:00Z,0.180390,0.180931,0.179217,0.179757,1117.00
2024-01-01T08:40:00Z,0.180254,0.180795,0.179089,0.179628,1120.00
2024-01-01T08:41:00Z,0.180116,0.180657,0.178953,0.179491,1123.00
2024-01-01T08:42:00Z,0.179978,0.180518,0.178808,0.179346,1126.00
2024-01-01T08:43:00Z,0.179840,0.180379,0.178657,0.179195,1129.00
2024-01-01T08:44:00Z,0.179702,0.180242,0.178500,0.179037,1132.00
2024-01-01T08:45:00Z,0.179567,0.180106,0.178337,0.178873,1135.00
2024-01-01T08:46:00Z,0.179434,0.179972,0.178171,0.178707,1138.00
2024-01-01T08:47:00Z,0.179304,0.179842,0.178002,0.178538,1141.00
2024-01-01T08:48:00Z,0.179179,0.179716,0.177834,0.178369,1144.00
2024-01-01T08:49:00Z,0.179058,0.179595,0.177669,0.178203,1147.00
2024-01-01T08:50:00Z,0.178943,0.179480,0.177508,0.178042,1150.00
2024-01-01T08:51:00Z,0.178834,0.179371,0.177355,0.177889,1153.00
2024-01-01T08:52:00Z,0.178732,0.179268,0.177213,0.177746,1156.00
2024-01-01T08:53:00Z,0.178638,0.179174,0.177083,0.177616,1159.00
2024-01-01T08:54:00Z,0.178551,0.179087,0.176970,0.177502,1162.00
2024-01-01T08:55:00Z,0.178474,0.179009,0.176875,0.177407,1165.00
2024-01-01T08:56:00Z,0.178405,0.178940,0.176802,0.177334,1168.00
2024-01-01T08:57:00Z,0.178345,0.178880,0.176753,0.177284,1171.00
2024-01-01T08:58:00Z,0.178296,0.178831,0.176729,0.177261,1174.00
2024-01-01T08:59:00Z,0.178256,0.178791,0.176734,0.177266,1177.00
2024-01-01T09:00:00Z,0.178227,0.178762,0.176768,0.177300,1180.00
